dateopen,open
2019-02-18,3671.369989
2019-02-19,3911.661521
2019-02-20,3946.684985
2019-02-21,4000.256787
2019-02-22,3952.406374
2019-02-23,3998.916273
2019-02-24,4145.457862
2019-02-25,3807.002446
2019-02-26,3878.697318
2019-02-27,3857.479782
2019-02-28,3848.262026
2019-03-01,3853.757132
2019-03-02,3855.318222
2019-03-03,3862.266166
2019-03-04,3845.091558
2019-03-05,3759.832441
2019-03-06,3897.081063
2019-03-07,3903.3848
2019-03-08,3913.225936
2019-03-09,3894.552526
2019-03-10,3966.174233
2019-03-11,3953.740174
2019-03-12,3903.758294
2019-03-13,3913.047443
2019-03-14,3905.576999
2019-03-15,3926.663231
2019-03-16,3963.90012
2019-03-17,4047.719571
2019-03-18,4029.968458
2019-03-19,4032.692007
2019-03-20,4070.794018
2019-03-21,4083.953893
2019-03-22,4028.514563
2019-03-23,4022.713307
2019-03-24,4035.163545
2019-03-25,4024.11268
2019-03-26,3969.228856
2019-03-27,3984.244819
2019-03-28,4087.584591
2019-03-29,4068.299891
2019-03-30,4092.136164
2019-03-31,4105.456177
2019-04-01,4105.362421
2019-04-02,4156.919643
2019-04-03,4879.958133
2019-04-04,4971.307741
2019-04-05,4922.806118
2019-04-06,5036.793024
2019-04-07,5062.793761
2019-04-08,5199.835378
2019-04-09,5289.917981
2019-04-10,5204.105308
2019-04-11,5325.081555
2019-04-12,5061.200887
2019-04-13,5088.849973
2019-04-14,5095.758634
2019-04-15,5167.321983
2019-04-16,5066.577601
2019-04-17,5236.13524
2019-04-18,5251.480692
2019-04-19,5298.154529
2019-04-20,5304.16054
2019-04-21,5335.878966
2019-04-22,5312.494642
2019-04-23,5399.365705
2019-04-24,5571.508177
2019-04-25,5466.524277
2019-04-26,5210.30492
2019-04-27,5279.471142
2019-04-28,5271.746394
2019-04-29,5284.858522
2019-04-30,5247.725882
2019-05-01,5350.914506
2019-05-02,5402.422865
2019-05-03,5505.55238
2019-05-04,5769.202533
2019-05-05,5831.068461
2019-05-06,5791.693267
2019-05-07,5745.599049
2019-05-08,5849.48135
2019-05-09,5982.31627
2019-05-10,6175.822738
2019-05-11,6379.666905
2019-05-12,7203.507522
2019-05-13,6971.178206
2019-05-14,7807.884449
2019-05-15,7989.374505
2019-05-16,8194.500903
2019-05-17,7886.925993
2019-05-18,7341.664419
2019-05-19,7267.963019
2019-05-20,8196.923935
2019-05-21,7977.96937
2019-05-22,7956.292149
2019-05-23,7677.268834
2019-05-24,7881.695321
2019-05-25,7991.885039
2019-05-26,8055.205919
2019-05-27,8674.072403
2019-05-28,8802.7582
2019-05-29,8718.591329
2019-05-30,8661.760506
2019-05-31,8320.286376
2019-06-01,8573.839725
2019-06-02,8565.473262
2019-06-03,8741.747216
2019-06-04,8210.985824
2019-06-05,7704.34318
2019-06-06,7819.633378
2019-06-07,7826.901265
2019-06-08,8036.774936
2019-06-09,7949.674706
2019-06-10,7692.284679
2019-06-11,8004.243542
2019-06-12,7925.434104
2019-06-13,8145.54523
2019-06-14,8230.898774
2019-06-15,8689.746414
2019-06-16,8841.440784
2019-06-17,8988.923709
2019-06-18,9335.466902
2019-06-19,9078.727603
2019-06-20,9273.060783
2019-06-21,9525.074608
2019-06-22,10175.92396
2019-06-23,10696.69093
2019-06-24,10853.74384
2019-06-25,11007.20207
2019-06-26,11778.58113
2019-06-27,13017.12487
2019-06-28,11162.16783
2019-06-29,12400.76369
2019-06-30,11931.99073
2019-07-01,10796.93062
2019-07-02,10588.68369
2019-07-03,10818.15582
2019-07-04,11972.71858
2019-07-05,11203.10249
2019-07-06,10982.54391
2019-07-07,11217.61593
2019-07-08,11446.59716
2019-07-09,12284.32646
2019-07-10,12571.53716
2019-07-11,12139.71384
2019-07-12,11354.29962
2019-07-13,11813.12732
2019-07-14,11381.0209
2019-07-15,10257.83854
2019-07-16,10896.65333
2019-07-17,9471.214001
2019-07-18,9698.50274
2019-07-19,10653.95644
2019-07-20,10525.819
2019-07-21,10777.52969
2019-07-22,10596.94807
2019-07-23,10346.7477
2019-07-24,9887.730844
2019-07-25,9809.096908
2019-07-26,9913.127189
2019-07-27,9871.164991
2019-07-28,9491.626887
2019-07-29,9548.178894
2019-07-30,9522.328955
2019-07-31,9604.051159
2019-08-01,10077.44259
2019-08-02,10402.04343
2019-08-03,10519.27835
2019-08-04,10821.63294
2019-08-05,10960.73573
2019-08-06,11811.54503
2019-08-07,11476.19344
2019-08-08,11954.04034
2019-08-09,11953.46954
2019-08-10,11861.5567
2019-08-11,11349.73989
2019-08-12,11528.18937
2019-08-13,11385.0525
2019-08-14,10889.48774
2019-08-15,10038.42171
2019-08-16,10319.42035
2019-08-17,10358.72254
2019-08-18,10233.0063
2019-08-19,10350.28363
2019-08-20,10916.34672
2019-08-21,10764.57275
2019-08-22,10142.52143
2019-08-23,10136.30953
2019-08-24,10407.64423
2019-08-25,10160.73702
2019-08-26,10126.29952
2019-08-27,10372.8263
2019-08-28,10203.4268
2019-08-29,9756.785707
2019-08-30,9514.844852
2019-08-31,9597.539448
2019-09-01,9630.593196
2019-09-02,9757.473237
2019-09-03,10345.72514
2019-09-04,10621.18033
2019-09-05,10588.18402
2019-09-06,10578.19783
2019-09-07,10353.93158
2019-09-08,10518.11412
2019-09-09,10443.2285
2019-09-10,10336.40841
2019-09-11,10123.03473
2019-09-12,10176.81936
2019-09-13,10415.36253
2019-09-14,10345.40376
2019-09-15,10356.46577
2019-09-16,10347.22226
2019-09-17,10281.51332
2019-09-18,10247.79608
2019-09-19,10200.49588
2019-09-20,10266.31853
2019-09-21,10183.6481
2019-09-22,10024.11526
2019-09-23,10067.96265
2019-09-24,9729.321397
2019-09-25,8603.428672
2019-09-26,8487.669586
2019-09-27,8113.10095
2019-09-28,8251.273623
2019-09-29,8246.037377
2019-09-30,8104.226367
2019-10-01,8299.721105
2019-10-02,8344.212649
2019-10-03,8390.774288
2019-10-04,8259.494475
2019-10-05,8210.149092
2019-10-06,8149.876882
2019-10-07,7989.120447
2019-10-08,8246.849629
2019-10-09,8229.840461
2019-10-10,8585.279847
2019-10-11,8585.262808
2019-10-12,8315.664653
2019-10-13,8336.902231
2019-10-14,8320.832244
2019-10-15,8373.458255
2019-10-16,8204.67452
2019-10-17,8047.812743
2019-10-18,8100.933616
2019-10-19,7973.803768
2019-10-20,7997.807022
2019-10-21,8225.115188
2019-10-22,8243.402092
2019-10-23,8076.228466
2019-10-24,7509.728183
2019-10-25,7490.703176
2019-10-26,8667.577155
2019-10-27,9241.707075
2019-10-28,9565.101883
2019-10-29,9248.440562
2019-10-30,9422.463325
2019-10-31,9202.457589
2019-11-01,9193.991989
2019-11-02,9259.783003
2019-11-03,9324.786832
2019-11-04,9235.607065
2019-11-05,9413.004943
2019-11-06,9340.86428
2019-11-07,9352.393467
2019-11-08,9265.368337
2019-11-09,8809.469198
2019-11-10,8812.489533
2019-11-11,9056.917701
2019-11-12,8759.751901
2019-11-13,8812.033629
2019-11-14,8811.936332
2019-11-15,8705.708101
2019-11-16,8491.166317
2019-11-17,8549.470909
2019-11-18,8573.980092
2019-11-19,8305.134291
2019-11-20,8203.61318
2019-11-21,8023.644687
2019-11-22,7643.569425
2019-11-23,7296.164425
2019-11-24,7398.633906
2019-11-25,7039.977035
2019-11-26,7145.159086
2019-11-27,7220.88065
2019-11-28,7536.820104
2019-11-29,7466.72729
2019-11-30,7764.057262
2019-12-01,7571.616194
2019-12-02,7424.036197
2019-12-03,7323.975403
2019-12-04,7320.125066
2019-12-05,7253.241893
2019-12-06,7450.561657
2019-12-07,7547.265443
2019-12-08,7551.339005
2019-12-09,7561.795171
2019-12-10,7397.134228
2019-12-11,7277.197699
2019-12-12,7216.738862
2019-12-13,7244.662237
2019-12-14,7268.902712
2019-12-15,7124.239525
2019-12-16,7153.663228
2019-12-17,6931.315218
2019-12-18,6647.698469
2019-12-19,7277.590992
2019-12-20,7208.636959
2019-12-21,7220.593553
2019-12-22,7191.188703
2019-12-23,7508.902556
2019-12-24,7354.392838
2019-12-25,7325.755891
2019-12-26,7274.799428
2019-12-27,7238.14118
2019-12-28,7289.03113
2019-12-29,7317.647588
2019-12-30,7420.272788
2019-12-31,7294.438896
2020-01-01,7194.891971
2020-01-02,7202.551122
2020-01-03,6984.428612
2020-01-04,7345.375275
2020-01-05,7410.451694
2020-01-06,7410.452168
2020-01-07,7768.681891
2020-01-08,8161.935477
2020-01-09,8082.296074
2020-01-10,7878.307538
2020-01-11,8162.191138
2020-01-12,8033.261846
2020-01-13,8189.772064
2020-01-14,8140.933096
2020-01-15,8825.343685
2020-01-16,8812.481491
2020-01-17,8725.209964
2020-01-18,8927.21226
2020-01-19,8941.445745
2020-01-20,8704.631814
2020-01-21,8658.991183
2020-01-22,8744.210751
2020-01-23,8680.65056
2020-01-24,8405.567733
2020-01-25,8440.119587
2020-01-26,8364.41007
2020-01-27,8597.308779
2020-01-28,8912.52434
2020-01-29,9357.470379
2020-01-30,9316.016978
2020-01-31,9508.313142
2020-02-01,9346.357628
2020-02-02,9389.820591
2020-02-03,9344.683679
2020-02-04,9292.8419
2020-02-05,9183.415777
2020-02-06,9617.821045
2020-02-07,9726.003157
2020-02-08,9793.07042
2020-02-09,9863.894881
